Age,Gender,Ethnicity,EmploymentLevel,WorkingHours,OrganisationalTenure,IndustryExperience,SelfEfficacy_1,SelfEfficacy_2,SelfEfficacy_3,SelfEfficacy_4,SelfEfficacy_5,SelfEfficacy_6,Optimism_1,Optimism_2,Optimism_3,Optimism_4,Optimism_5,Optimism_6,Optimism_7,Optimism_8,Hope_1,Hope_2,Hope_3,Hope_4,Hope_5,Hope_6,Hope_7,Hope_8,Resilience_1,Resilience_2,Resilience_3,Resilience_4,Resilience_5,Resilience_6,OccupationalStress_1,OccupationalStress_2,OccupationalStress_3,OccupationalStress_4,Burnout_1,Burnout_2,Burnout_3,Burnout_4,Burnout_5,Burnout_6,Burnout_7,Burnout_8,Burnout_9,Burnout_10
52,Woman,Asian,Mid-Level,30,"Five years or more, but less than ten years",More than ten years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely
30,Woman,Asian,Mid-Level,50,"Three years or more, but less than five years","Three years or more, but less than five years",Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Sometimes,Very often,Very often,Sometimes,Very often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Very often
31,Woman,Asian,Mid-Level,5,"Three years or more, but less than five years","Three years or more, but less than five years",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes
29,Woman,Hispanic/Latino,Mid-Level,40,"Three years or more, but less than five years","Five years or more, but less than ten years",Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes
25,Man,Black,Entry-Level,25,"One year or more, but less than two years","One year or more, but less than two years",Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Rarely,Never,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Rarely
23,Woman,Asian,Entry-Level,20,"Three years or more, but less than five years","Five years or more, but less than ten years",Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Rarely,Often,Often,Never,Often,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Sometimes
52,Woman,Asian,Mid-Level,30,"Five years or more, but less than ten years",More than ten years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely
25,Woman,Hispanic/Latino,Entry-Level,35,"Five years or more, but less than ten years","Five years or more, but less than ten years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Never,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
30,Woman,Hispanic/Latino,Mid-Level,40,"One year or more, but less than two years","Two years or more, but less than three years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Rarely,Never,Never,Rarely
23,Woman,Asian,Entry-Level,20,"Three years or more, but less than five years","Five years or more, but less than ten years",Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Rarely,Often,Often,Never,Often,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Sometimes
33,Man,Mixed/Other,Mid-Level,40,"Five years or more, but less than ten years","Five years or more, but less than ten years",Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Rarely,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never
27,Woman,Mixed/Other,Entry-Level,25,"One year or more, but less than two years","One year or more, but less than two years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Never,Very often,Very often,Rarely,Often,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Never
25,Woman,White,Mid-Level,20,"One year or more, but less than two years","Three years or more, but less than five years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
32,Woman,Asian,Supervisor,40,"Five years or more, but less than ten years","Five years or more, but less than ten years",Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sometimes,Often,Very often,Rarely,Often,Often,Rarely,Never,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes
29,Woman,Asian,Entry-Level,37,Less than a year,Less than a year,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Often,Rarely,Sometimes,Often,Very often,Very often,Rarely,Rarely,Rarely,Sometimes,Often,Never,Very often,Sometimes
55,Woman,White,Supervisor,45,More than ten years,More than ten years,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Never,Never,Often,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never
29,Woman,Hispanic/Latino,Mid-Level,40,"Three years or more, but less than five years","Five years or more, but less than ten years",Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes
29,Man,Black,Mid-Level,40,"Five years or more, but less than ten years","Five years or more, but less than ten years",Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Never,Very often,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never
22,Man,Asian,Entry-Level,30,Less than a year,"One year or more, but less than two years",Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Often,Sometimes,Often,Sometimes,Very often,Rarely,Sometimes,Never,Rarely,Rarely,Very often,Rarely,Rarely,Sometimes
50,Man,White,Supervisor,38,More than ten years,More than ten years,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Sometimes,Often,Rarely,Often,Very often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely
35,Man,Hispanic/Latino,Mid-Level,45,"Five years or more, but less than ten years","Five years or more, but less than ten years",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Never,Very often,Very often,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never
24,Man,Hispanic/Latino,Mid-Level,46,"One year or more, but less than two years","One year or more, but less than two years",Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Often
33,Woman,White,Entry-Level,8,Less than a year,Less than a year,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Never,Very often,Often,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Rarely,Never
27,Woman,Mixed/Other,Entry-Level,25,"One year or more, but less than two years","One year or more, but less than two years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Never,Very often,Very often,Rarely,Often,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Never
36,Woman,Hispanic/Latino,Mid-Level,20,"Three years or more, but less than five years","Three years or more, but less than five years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Never,Very often,Very often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
36,Woman,White,Entry-Level,40,"One year or more, but less than two years","One year or more, but less than two years",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Never,Often,Very often,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Never,Rarely,Never
24,Woman,Asian,Entry-Level,35,Less than a year,Less than a year,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Rarely,Very often,Very often,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Never
24,Woman,Asian,Entry-Level,35,Less than a year,Less than a year,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Rarely,Very often,Very often,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Never
